session,bill-number,title,organization,bill-text,source,sponsors,past-legislation,related-legislation,introduced,last-activity,comments,review,score,public-default,tech-standards,accounting-standards,metadata-standards,annual-report,bi-annual-meetings,incentives,passed-house,passed-senate,signed-law
GA132,HB3,Improve transparency of public data,Ohio,/assets/doc/2017-02-01-ohio-ga132-hr3.pdf,https://openstates.org/oh/bills/132/HB3/,[Rep. Mike Duffey](https://openstates.org/oh/legislators/OHL000054/mike-duffey/) and [Rep. Christina Hagan](https://openstates.org/oh/legislators/OHL000134/christina-hagan/),[GA130-HB321](https://openstates.org/oh/bills/130/HB321/); [GA130-HB323](https://openstates.org/oh/bills/130/HB323/);,[GA132-HB40](https://openstates.org/oh/bills/132/HB40/),1-Feb-2017,13-Dec-2017,Passed House Finance Committee Vote,,40,10,,,,10,10,10,0,0,0
GA132,HB40,Establish State Government Expenditure Database,Ohio,https://openstates.org/oh/bills/132/HB%2040/documents/OHD00020268/,https://openstates.org/oh/bills/132/HB40/,,[GA130-HB321](https://openstates.org/oh/bills/130/HB321/); [GA130-HB323](https://openstates.org/oh/bills/130/HB323/);,[GA132-HB3]https://openstates.org/oh/bills/132/HB3/),6-Feb-2017,6-Feb-2017,Introduced,{{ site.post.2017-02-01-ohio }},,,,,,,,,,,
2015-2016,AB169,Local government: public records: Internet,California,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160AB169,https://openstates.org/ca/bills/20152016/AB169,[Rep. Brian Maienschein](https://openstates.org/ca/legislators/CAL000385/brian-maienschein/),,,"Jan 22, 2015",10-Oct-2015,signed into law,,,,,,,,,,,,
113th Congress,S.994,Digital Accountability and Transparency Act of 2014 or the DATA Act,United States,https://www.congress.gov/bill/113th-congress/senate-bill/994),https://www.congress.gov/bill/113th-congress/senate-bill/994),[Sen. Mark Warner](https://www.congress.gov/member/mark-warner/W000805),,,21-May-2013,9-May-2014,signed into law,,,,,,,,,,,,
2014,SB644,State Government - Open Data Policy - Council on Open Data,Maryland,/assets/doc/2014-04-08-maryland-sb0644.pdf,https://openstates.org/oh/bills/132/HB3/,[Rep. William C Ferguson IV](https://openstates.org/md/legislators/MDL000379/william-c-ferguson-iv/),,,,8-Apr-2014,Signed into law,,,,,,,,,,,,
2013,SB283,Availability of Public Information Amendments,Utah,/assets/doc/2013-03-22-utah-sb0283.pdf,https://openstates.org/ut/bills/2013/SB283/,,,,,22-Mar-2013,Signed into law,,,,,,,,,,,,
2013,HB632,Relating To Open Data,Hawaii,/assets/doc/2013-07-09-hawaii-HB632.pdf,https://openstates.org/hi/bills/2013%20Regular%20Session/HB632/,"[Rep. Clift Tsuji](https://openstates.org/hi/legislators/HIL000072/clift-tsuji/), [Rep. Ken Ito](https://openstates.org/hi/legislators/HIL000045/ken-ito/), [Rep. Marcus R. Oshiro](https://openstates.org/hi/legislators/HIL000061/marcus-r-oshiro/), [Rep. Calvin K.Y. Say](https://openstates.org/hi/legislators/HIL000066/calvin-ky-say/), and [Gregg Takayama](https://openstates.org/hi/legislators/HIL000126/gregg-takayama/)",,,,9-Jul-2013,Signed into law,,,,,,,,,,,,
2014,SB70,State Data Portal Amendments,Utah,/assets/doc/2014-03-27-utah-sb0070.pdf,https://openstates.org/ut/bills/2014/SB70/,[Rep. Deidre M. Henderson](https://openstates.org/ut/legislators/UTL000117/deidre-m-henderson/),,,,27-Mar-2014,Signed into law,,,,,,,,,,,,
2012,HB418,Relative to the use of open source software and open data formats by state agencies and relative to the adoption of a statewide information policy regarding open government data standards,New Hampshire,http://www.gencourt.state.nh.us/legislation/2012/HB0418.html,https://openstates.org/nh/bills/2012/HB418/,"[Rep. Calvin D. Pratt](https://openstates.org/nh/legislators/NHL000300/calvin-d-pratt/), [Rep. George A Lambert](https://openstates.org/nh/legislators/NHL000209/george-a-lambert/)",,,,12-Mar-2012,Signed into law,,,,,,,,,,,,
98th,HB1040,Open Operating Standards Act,Illinois,http://ilga.gov/legislation/fulltext.asp?DocName=09800HB1040enr&GA=98&SessionId=85&DocTypeId=HB&LegID=71487&DocNum=1040&GAID=12&Session=&print=true,https://openstates.org/il/bills/98th/HB1040/,[Rep. Michaell W. Tryon](https://openstates.org/il/legislators/ILL000169/michael-w-tryon/) and [Rep. Pamela J. Althoff](https://openstates.org/il/legislators/ILL000001/pamela-j-althoff/),,,,7-Mar-2014,Signed into law,,,,,,,,,,,,